BiolRepl;Community;drug_conc;Sample;experiment_number;plate_number;tech_repl;control;well;AUC;maxOD;finalOD
B3;C2;24;Sarela_B3_C2_24;Exp22;Plate3;TechRepl1;FALSE;C7;1.13637117734889;1.20181112548512;1.20181112548512
B3;C2;24;Sarela_B3_C2_24;Exp22;Plate4;TechRepl2;FALSE;C7;1.09324020952856;1.18060606060606;1.18060606060606
B1;C2;30;Sarela_B1_C2_30;Exp20;Plate1;TechRepl1;FALSE;B10;0.564554988662132;0.648698884758364;0.5817843866171
B1;C2;30;Sarela_B1_C2_30;Exp20;Plate2;TechRepl2;FALSE;B10;0.562418129421011;0.635135135135135;0.592905405405405
B2;C2;30;Sarela_B2_C2_30;Exp21;Plate3;TechRepl1;FALSE;C10;1.07166099689395;1.01172529313233;1.01172529313233
B2;C2;30;Sarela_B2_C2_30;Exp21;Plate4;TechRepl2;FALSE;C10;0.970760637197435;0.963576158940397;0.963576158940397
B3;C2;30;Sarela_B3_C2_30;Exp22;Plate3;TechRepl1;FALSE;C9;0.582093679146159;0.67529107373868;0.67529107373868
B3;C2;30;Sarela_B3_C2_30;Exp22;Plate4;TechRepl2;FALSE;C9;0.598952357196308;0.659393939393939;0.659393939393939
B1;C2;40;Sarela_B1_C2_40;Exp20;Plate1;TechRepl1;FALSE;B12;0.10437925170068;0.184014869888476;0.184014869888476
B1;C2;40;Sarela_B1_C2_40;Exp20;Plate2;TechRepl2;FALSE;B12;0.123657322504585;0.209459459459459;0.209459459459459
B2;C2;40;Sarela_B2_C2_40;Exp21;Plate3;TechRepl1;FALSE;C12;0.371616624759651;0.547738693467337;0.547738693467337
B2;C2;40;Sarela_B2_C2_40;Exp21;Plate4;TechRepl2;FALSE;C12;0.341079925522378;0.536423841059603;0.536423841059603
B3;C2;40;Sarela_B3_C2_40;Exp22;Plate3;TechRepl1;FALSE;C11;0.199911519106343;0.280724450194049;0.280724450194049
B3;C2;40;Sarela_B3_C2_40;Exp22;Plate4;TechRepl2;FALSE;C11;0.176602644050886;0.254545454545455;0.254545454545455
B1;C3;Zn;Sarela_B1_C3_Zn;Exp20;Plate1;TechRepl1;FALSE;C1;1.47425038639876;1.66111951588502;1.66111951588502
B1;C3;Zn;Sarela_B1_C3_Zn;Exp20;Plate2;TechRepl2;FALSE;C1;1.3931875;1.57210031347962;1.57210031347962
B2;C3;Zn;Sarela_B2_C3_Zn;Exp21;Plate3;TechRepl1;FALSE;F1;1.23138863567305;1.15716753022453;1.15716753022453
B2;C3;Zn;Sarela_B2_C3_Zn;Exp21;Plate4;TechRepl2;FALSE;F1;1.17702535011523;1.15850622406639;1.15850622406639
B3;C3;Zn;Sarela_B3_C3_Zn;Exp22;Plate3;TechRepl1;FALSE;D1;1.27459464836367;1.46926713947991;1.46926713947991
B3;C3;Zn;Sarela_B3_C3_Zn;Exp22;Plate4;TechRepl2;FALSE;D1;1.30699731777328;1.35706695005313;1.35706695005313
B1;C3;0;Sarela_B1_C3_0;Exp20;Plate1;TechRepl1;TRUE;C2;1;1;1
B1;C3;0;Sarela_B1_C3_0;Exp20;Plate2;TechRepl2;TRUE;C2;1;1.01724137931034;1
B2;C3;0;Sarela_B2_C3_0;Exp21;Plate3;TechRepl1;TRUE;F2;1;1;1
B2;C3;0;Sarela_B2_C3_0;Exp21;Plate4;TechRepl2;TRUE;F2;1;1;1
B3;C3;0;Sarela_B3_C3_0;Exp22;Plate3;TechRepl1;TRUE;D2;1;1;1
B3;C3;0;Sarela_B3_C3_0;Exp22;Plate4;TechRepl2;TRUE;D2;1;1;1
